address,liquid_uxki,staked_uxki,unbonding_uxki,rewards_uxki,total_uxki,total_xki
ki18vx4s5z3etf6q0q5j2r8r2q0sdxu6c5dm95g2l,106804241511,0,0,0,106804241511,106804.241511
ki1ea6u92ky8f5fxdrjhjr5q9kt7xa6jdf6967nmj,104565877318,19989003,0,0,104585866321,104585.866321
ki1wf3luez4233wwwjtmz3peqd8euspsnj02f8cqa,103051433266,149955004500,0,0,253006437766,253006.437766
ki19nqd94xmds6ww9vwkfa5pe9y0n7hv5v7sn9nqa,102506196972,272765528529,0,17346126617,392617852118,392617.852118
ki1dh8x635tmyv9d7hku3tf5c3yklf6j0m7md2phn,99175280229,98570728199,0,6448836294,204194844722,204194.844722
ki1wppeea5hm3xxuuj7u0z98gcrg5cdvjf6wpp3j5,97500298616,41646834900,0,0,139147133516,139147.133516
ki1aqprc67w9e94h0tn2z0pwjr56gfcvghpmmz0el,95330353986,9997000,0,0,95340350986,95340.350986
ki13u4dsapth4m3hef3z8qgjtdnv06predem4z7xk,95161117612,0,0,0,95161117612,95161.117612
ki128atusl6p90u0pafe6pe8ytz7xywmpegrr2j90,93718937507,0,0,0,93718937507,93718.937507
ki1twjnrnlerhqn4j64mf459vsry8568pnawr68v8,93310112526,149955004500,0,0,243265117026,243265.117026
ki12yl6n0dxv7uhyk2z5k9m84nqx3f6tmzhjlkq83,91673216556,1107869806507,0,203136832715,1402679855778,1402679.855778
ki12p2wq7jvvs9kn0phsgrzd447jwkh2dkrsgnrcq,88912801218,424434888914,0,23787175341,537134865473,537134.865473
ki1692vmqzxfvdlrj79vulveumsqh33lc42gxt9ea,88875000000,0,0,0,88875000000,88875
ki1uaeydf60e8h7au7td4u4zn7deeg2drtydqq3gq,85895288935,17374067596,0,2694202514,105963559045,105963.559045
ki1dkyfyrykp64st39e42j7aur644q58nunehjhqr,85589635521,281277969769,0,16896796802,383764402092,383764.402092
ki1v2srqzaqku25pdndegz3flhez6umfehpflh72w,84160635524,999800,0,36801,84161672125,84161.672125
ki15kgmc0kmntnq4hse6cayrnqzp8xucnufzhfvxz,81783541529,0,0,0,81783541529,81783.541529
ki1sufkm72dw7ua9crpfhhp0dqpyuggtlhdp55ga2,81496797918,0,0,0,81496797918,81496.797918
ki1nq52w5c26607y63u23ktpavjfspjqn5dfcwhut,81419090034,237518239782,0,55695380678,374632710494,374632.710494
ki1ezk9du75qmvs30rnva46rvzam7n8nnk9xnrtka,80818196239,1551561551102,0,115380261573,1747760008914,1747760.008914
ki1tmwtkdwwynu83lsxpufl5uyrc7vsmsw2ahw80p,80218000000,0,0,0,80218000000,80218
ki1gau843tcg69r2mqpt0hkddmrz4944dn67ers5v,76035111540,0,0,0,76035111540,76035.11154
ki1w507g58ahmwv9g75vhxvfp7yha7sqaysvmtxnf,75612096181,49985001500,0,0,125597097681,125597.097681
ki165nxrfgg8n9muy5xk20svqa9nzvn4kpzqf2xv5,74798989031,3513357948,0,318554208,78630901187,78630.901187
ki1wud964k88tcnnqlsuj8nhwrsmdleukzvpn2crd,74727516462,115426454510,0,2218463720,192372434692,192372.434692
ki1wk2akksw74ggcshgqq5lz755r554d2ncxqesz4,74361924215,0,0,0,74361924215,74361.924215
ki1d04xeg0mlu0gkhuyy8d29s9fghx5q842882s4j,71996529904,0,0,0,71996529904,71996.529904
ki1lj63gle3avda4fd46vhaz6ez6ph838fy62gcl9,71323852668,517726434885,0,58189490176,647239777729,647239.777729
ki1rducf4l0n2m9jyqpmd3e7ypgjcxqj8tsu408lvdsk4m2xvjte9qs7g5wvd,70525346378,0,0,0,70525346378,70525.346378
ki1xlmma6erzswf2mkt4u7ccax6u08u60jva4lg6p,68426700253,9997000300,0,0,78423700553,78423.700553
ki1ta64yk93hfrx7ms8l634fg47aeh7y29snp0vqh,68051835266,0,0,0,68051835266,68051.835266
ki1kp9lg3na7sdcjp4qng8yzyvsvnxty5r2ln33z3,67889839563,1998800299969,0,150961044469,2217651184001,2217651.184001
ki1dx3smng8gd8896r9dqwu4g0pq3kewq9q0x7xms,67598418721,650472,0,0,67599069193,67599.069193
ki1c0z47y2z8k9mvsvkdpwasgktmc6hqk45g70a76,65743500846,0,0,0,65743500846,65743.500846
ki1pdnmzlgjk0j66f09yh9anknf70e6vfnwzncz34,65299403011,2029960000000,0,559560899502,2654820302513,2654820.302513
ki1pgcp8cgnfe4lp6sjqgee20af5yh007ez850nn5,64389438036,6999810032001,0,2421694642316,9485894112353,9485894.112353
ki1mk06e2y5favwtp5lg7hns48gee2u60qduj7ucr,63783755643,0,0,0,63783755643,63783.755643
ki1er4h4lqdetdc4x3mvs6qqzjenx0y3859rgcl55,63500000000,0,0,0,63500000000,63500
ki1tl9r4gjmrxztnkmr49w5qmh0uxt2juzec0syq0,63468326995,0,0,0,63468326995,63468.326995
ki1jzzpnhf6wuc7ewyaa0ss5akfmlflgggrygfpc7,62500000000,0,0,0,62500000000,62500
ki1eq0l6557jq377vs4pu7wgj3vl55v3rfsd2j64m,62499000000,0,0,0,62499000000,62499
ki1u2wpyuem4tuj22tajan9cjn5npcq8syv0ekrc2,61575405648,0,0,0,61575405648,61575.405648
ki1hw7l4l3yuqgre6e8k2ps5wl4929l2r4tp86u0h,60010185000,9997000300,0,0,70007185300,70007.1853
ki19u8sk94z6uun3uqq54unhh2eff7jssferl9edfyx0qxk6zzs34lsjhg8dc,59706168001,0,0,0,59706168001,59706.168001
ki1nxvpcqmz2qjykpukqpz9wml0ap5ahl7jkwpp0k,59675699500,0,0,0,59675699500,59675.6995
ki1tmkwm0hcagwuxnz0zc9hp62g49kgdzwkkze0a6,59598182953,1671311469757,0,126052022734,1856961675444,1856961.675444
ki1s4gexdrkze08fjnydyq6yqjtt5p9a95w6admj9,59560898702,0,0,0,59560898702,59560.898702
ki10mjvglfzlxy7suzhf3nqjacutjxfuae8sqhdpd,59049220783,0,0,0,59049220783,59049.220783
ki16wgs8p6n0cgth5wlnkfjez26k3dvdd06hswny5,58449728219,101130248393,0,7225299754,166805276366,166805.276366
ki1h2p48hl8ljx2s6ht39rvau8e7wc5ftge526de4,57473505385,0,0,0,57473505385,57473.505385
ki126442p6nvaq89e5p40rsga449ammmdh8u4ku7s,57166731450,47359357349,0,7230464388,111756553187,111756.553187
ki10wxn2lv29yqnw2uf4jf439kwy5ef00qdpad6xj,57078884739,0,0,0,57078884739,57078.884739
ki1yy2a3ukkrm7lj9w32zgxmnxque75sfuszj548u,56437719076,0,0,0,56437719076,56437.719076
ki1al8mtcmmvzdaw3xrttwm2lrv0wpyygdfju439y,56250000000,0,0,0,56250000000,56250
ki18vuy3wgjxdsl2yenua5naucrjczkaspgvm0ear,56250000000,0,0,0,56250000000,56250
ki1j6a95w2jqreszc4tw9uqzw0muj2em5e0l44x7y,56247000000,0,0,0,56247000000,56247
ki10q07krpeccwxywxh3zalet5ezcyyjg4eey50tv,55511381743,0,0,0,55511381743,55511.381743
ki1zrxgkq4htswxzkr5wvs87h8ql7yj07588tksdn,55510690791,0,0,0,55510690791,55510.690791
ki196l9ftzvxqemxfjykqmjchz9zkfefuklway7xr,55469970000,0,0,0,55469970000,55469.97
ki1a6gaz8fmf2pny2le9cfq0sk597fl3p99xqy9s2,55263096608,149955004500,0,0,205218101108,205218.101108
ki13hzw92z3h34lw4spsv6g7a7fwg2u0zavy030lu,54806057635,768338941430,0,23190308248,846335307313,846335.307313
ki153lqgmyvfuhdmh09vvw4qam2vxpjgx3ap7kxqg,54299322826,207500000000,0,28871391855,290670714681,290670.714681
